call_type_group,neighborhoods_analysis_boundaries,number_of_records
Alarm,Oceanview/Merced/Ingleside,6666
Alarm,Lone Mountain/USF,7274
Alarm,Visitacion Valley,5104
Alarm,Noe Valley,8835
Alarm,Portola,3841
Alarm,Japantown,4448
Alarm,Presidio Heights,6852
Alarm,Treasure Island,2533
Alarm,Golden Gate Park,1738
Alarm,Twin Peaks,4167
Alarm,Presidio,3237
Alarm,Glen Park,3200
Alarm,None,3440
Alarm,Seacliff,1357
Alarm,McLaren Park,1004
Alarm,Lincoln Park,667
